what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1290792017368
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1290792017377
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1290792017388
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1290792017479
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1290792017480
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1290792017493
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1290792017521
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1290792017543
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1290792017597
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1290792017628
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1290792017664
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1290792017700
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1290792017701
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1290792017802
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1290792017841
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1290792017842
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1290792017886
started,bundle,org.eclipse.egit.core,0.9.3,"org.eclipse.egit.core",1290792017914
started,bundle,org.eclipse.egit.ui,0.9.3,"org.eclipse.egit.ui",1290792017959
started,bundle,org.eclipse.jgit,0.9.3,"org.eclipse.jgit",1290792017961
os,sysinfo,,,"linux",1290792017971
arch,sysinfo,,,"x86",1290792017971
ws,sysinfo,,,"gtk",1290792017971
locale,sysinfo,,,"en_IN",1290792017971
processors,sysinfo,,,"1",1290792017971
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1290792017971
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1290792017971
java.specification.name,sysinfo,,,"Java Platform API Specification",1290792017971
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290792017971
java.specification.version,sysinfo,,,"1.6",1290792017971
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1290792017971
java.version,sysinfo,,,"1.6.0_20",1290792017971
java.vm.info,sysinfo,,,"mixed mode, sharing",1290792017971
java.vm.name,sysinfo,,,"OpenJDK Client VM",1290792017971
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1290792017971
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290792017971
java.vm.specification.version,sysinfo,,,"1.0",1290792017971
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1290792017971
java.vm.version,sysinfo,,,"17.0-b16",1290792017971
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290792018112
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1290792018175
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1290792018506
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1290792018613
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1290792019435
started,bundle,org.eclipse.team.svn.core,0.7.9.I20100917-1700,"org.eclipse.team.svn.core",1290792020387
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1290792020388
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1290792020389
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1290792020484
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1290792020576
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1290792020849
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1290792020985
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1290792021090
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.12.0.20101115-1102,"org.maven.ide.eclipse.maven_model_edit",1290792021517
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20100512-1900,"org.eclipse.team.svn.mylyn",1290792021596
error,log,,,"Plug-in org.eclipse.team.svn.ui was unable to load class org.eclipse.team.svn.ui.decorator.SVNLightweightDecorator.",1290792022076
stopped,bundle,org.eclipse.team.svn.ui,0.7.9.I20101001-1700,"org.eclipse.team.svn.ui",1290792022275
started,bundle,org.maven.ide.eclipse,0.12.0.20101115-1102,"org.maven.ide.eclipse",1290792022276
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1290792022304
error,log,,,"An internal error occurred during: ""Initializing Java Tooling"".",1290792022323
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1290792022339
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1290792022395
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1290792022473
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1290792022501
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1290792022533
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1290792022595
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1290792022688
